model,display_name,latent_dim,n_hyperparams,n_fd_evals,solver,ad_min_nodes,method,n_nodes,gradient_time_mean_s,gradient_time_std_s,n_runs,energy_per_node_J,energy_gpu_per_node_J,energy_other_per_node_J,energy_total_J
gs_small,GS,444,3,7,dense,1,AD,1,0.003191,0.000000,10,,,,
gs_small,GS,444,3,7,dense,1,FD,1,0.097764,0.000205,10,,,,
gs_small,GS,444,3,7,dense,1,FD,2,0.057370,0.000296,10,,,,
gs_small,GS,444,3,7,dense,1,FD,4,0.029457,0.000408,10,,,,
gs_small,GS,444,3,7,dense,1,FD,8,0.015102,0.000305,10,,,,
gs_small,GS,444,3,7,dense,1,FD,16,0.017105,0.000410,10,,,,
pst_small,PST,2272,3,7,dense,1,AD,1,0.110154,0.000000,10,,,,
pst_small,PST,2272,3,7,dense,1,FD,1,0.351415,0.000772,10,,,,
pst_small,PST,2272,3,7,dense,1,FD,2,0.198472,0.000519,10,,,,
pst_small,PST,2272,3,7,dense,1,FD,4,0.101614,0.000198,10,,,,
pst_small,PST,2272,3,7,dense,1,FD,8,0.038619,0.000489,10,,,,
pst_small,PST,2272,3,7,dense,1,FD,16,0.036715,0.000275,10,,,,
gst_small,GST-S,466,4,9,BTA,1,AD,1,0.005182,0.000000,10,3.0,2.0,1.0,3.0
gst_small,GST-S,466,4,9,BTA,1,FD,1,0.258393,0.000449,10,185.0,111.0,38.0,185.0
gst_small,GST-S,466,4,9,BTA,1,FD,2,0.141953,0.000480,10,109.0,64.0,23.0,218.0
gst_small,GST-S,466,4,9,BTA,1,FD,4,0.087299,0.000566,10,64.0,38.0,11.0,257.0
gst_small,GST-S,466,4,9,BTA,1,FD,8,0.058715,0.000617,10,41.0,24.0,8.0,332.0
gst_small,GST-S,466,4,9,BTA,1,FD,16,0.030308,0.000665,10,,,,
gst_medium,GST-M,81206,4,9,BTA,1,AD,1,0.732934,0.000000,10,502.0,315.0,98.0,502.0
gst_medium,GST-M,81206,4,9,BTA,1,FD,1,2.706258,0.001848,10,1869.0,1169.0,368.0,1869.0
gst_medium,GST-M,81206,4,9,BTA,1,FD,2,1.506179,0.001345,10,1106.0,689.0,209.0,2211.0
gst_medium,GST-M,81206,4,9,BTA,1,FD,4,0.919478,0.000732,10,644.0,405.0,102.0,2577.0
gst_medium,GST-M,81206,4,9,BTA,1,FD,8,0.603151,0.000338,10,418.0,261.0,74.0,3342.0
gst_medium,GST-M,81206,4,9,BTA,1,FD,16,0.318419,0.000490,10,397.0,244.0,153.0,6352.0
gst_large,GST-L,1000506,4,9,BTA,1,AD,1,23.525000,0.051000,10,26038.0,17921.0,8117.0,26038.0
gst_large,GST-L,1000506,4,9,BTA,1,FD,1,61.740000,0.030000,10,64271.0,42935.0,21336.0,64271.0
gst_large,GST-L,1000506,4,9,BTA,1,FD,2,33.585,0.018,23,32492.0,22636.0,9856.0,64984.0
gst_large,GST-L,1000506,4,9,BTA,1,FD,4,20.112,0.010,23,18728.0,12762.0,5966.0,74911.0
gst_large,GST-L,1000506,4,9,BTA,1,FD,8,13.469,0.014,23,11967.0,7841.0,4126.0,95739.0
gst_large,GST-L,1000506,4,9,BTA,1,FD,16,6.914,0.123,23,6898.0,4824.0,2074.0,110363.0
gs_coreg2_small,GS-C2,3638,7,15,dense,1,AD,1,0.051046,0.000000,10,,,,
gs_coreg2_small,GS-C2,3638,7,15,dense,1,FD,1,0.510751,0.000681,10,,,,
gs_coreg2_small,GS-C2,3638,7,15,dense,1,FD,2,0.272138,0.000452,10,,,,
gs_coreg2_small,GS-C2,3638,7,15,dense,1,FD,4,0.139764,0.000568,10,,,,
gs_coreg2_small,GS-C2,3638,7,15,dense,1,FD,8,0.073768,0.000681,10,,,,
gs_coreg2_small,GS-C2,3638,7,15,dense,1,FD,16,0.039756,0.001219,10,,,,
gs_coreg3_small,GS-C3,3279,12,25,dense,1,AD,1,0.042245,0.000000,10,,,,
gs_coreg3_small,GS-C3,3279,12,25,dense,1,FD,1,1.056505,0.001926,10,,,,
gs_coreg3_small,GS-C3,3279,12,25,dense,1,FD,2,0.550934,0.008507,10,,,,
gs_coreg3_small,GS-C3,3279,12,25,dense,1,FD,4,0.307508,0.000713,10,,,,
gs_coreg3_small,GS-C3,3279,12,25,dense,1,FD,8,0.172307,0.000420,10,,,,
gs_coreg3_small,GS-C3,3279,12,25,dense,1,FD,16,0.102498,0.000872,10,,,,
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,AD,1,0.069760,0.000000,10,56.0,34.0,11.0,56.0
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,1,1.266533,0.003990,10,870.0,527.0,178.0,870.0
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,2,0.657236,0.006155,10,494.0,297.0,101.0,988.0
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,4,0.337814,0.000343,10,242.0,148.0,40.0,967.0
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,8,0.201696,0.000493,10,139.0,83.0,27.0,1113.0
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,16,0.146726,0.000725,10,232.0,140.0,92.0,3712.0
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,32,0.110292,0.117868,10,86.7,50.9,13.6,2774.4
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,AD,1,0.078446,0.000000,10,72.0,46.0,14.0,72.0
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,1,2.647893,0.003439,10,1897.0,1164.0,379.0,1897.0
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,2,1.347091,0.006794,10,1085.0,659.0,218.0,2170.0
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,4,0.673403,0.004709,10,451.0,277.0,74.0,1805.0
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,8,0.351747,0.000895,10,249.0,150.0,48.0,1993.0
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,16,0.185908,0.001421,10,330.0,200.0,130.0,5280.0
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,32,0.118722,0.078590,10,34.7,20.3,5.6,1110.4
sa1,SA1,964803,15,31,BTA,1,AD,1,31.859000,0.018000,22,36229.0,25298.0,10931.0,36229.0
sa1,SA1,964803,15,31,BTA,1,AD,2,32.410000,0.009000,134,71641.0,49385.0,11865.0,143282.0
sa1,SA1,964803,15,31,BTA,1,FD,1,263.382000,0.213000,7,288559.0,201056.0,87503.0,288559.0
sa1,SA1,964803,15,31,BTA,1,FD,2,135.033000,0.104000,14,150174.0,104102.0,46072.0,300347.0
sa1,SA1,964803,15,31,BTA,1,FD,4,67.951,0.077,19,74967.0,51633.0,12949.0,299868.0
sa1,SA1,964803,15,31,BTA,1,FD,8,34.132,0.020,15,36967.0,26030.0,10938.0,295737.0
sa1,SA1,964803,15,31,BTA,1,FD,16,17.192,0.139,11,19897.0,13613.0,3113.0,318352.0
sa1,SA1,964803,15,31,BTA,1,FD,32,8.678,0.144,11,8991.0,6236.0,1085.0,287712.0
ap1,AP1,606246,15,31,BTA,4,AD,4,116.897000,1.503000,163,116527.0,78703.0,16166.0,466107.0
ap1,AP1,606246,15,31,BTA,4,FD,6,1084.275000,5.076000,20,816010.0,514214.0,301796.0,4896060.0
ap1,AP1,606246,15,31,BTA,4,FD,12,554.643,3.778,16,430091.0,267624.0,54408.0,5161092.0
ap1,AP1,606246,15,31,BTA,4,FD,24,280.672,2.188,35,220778.0,136740.0,29607.0,5298672.0
ap1,AP1,606246,15,31,BTA,4,FD,48,156.995,6.205,10,124713.0,73397.0,28567.0,5986224.0
ap1,AP1,606246,15,31,BTA,4,FD,96,74.807,3.338,45,60253.0,37933.0,22320.0,5784322.0
ap1,AP1,606246,15,31,BTA,4,FD,128,81.221,3.601,10,61614.7,38884.4,10160.2,7886681.6
wa1,WA1,1915395,15,31,BTA,4,AD,4,76.071000,3.948000,95,66434.0,44575.0,10019.0,265735.0
wa1,WA1,1915395,15,31,BTA,4,FD,4,216.583000,0.620000,14,176450.0,120485.0,55965.0,705800.0
wa1,WA1,1915395,15,31,BTA,4,FD,8,163.854,0.341,14,151047.0,100999.0,50048.0,1208374.0
wa1,WA1,1915395,15,31,BTA,4,FD,16,78.286,0.269,9,72600.0,49960.0,22640.0,1161603.0
wa1,WA1,1915395,15,31,BTA,4,FD,32,43.048,0.170,15,35189.0,23864.0,3288.0,1126048.0
wa1,WA1,1915395,15,31,BTA,4,FD,128,11.496,0.097,10,9303.6,6163.4,1408.0,1190860.8
wa2,WA2,645843,15,31,BTA,4,AD,4,148.165000,1.560000,66,148467.0,100257.0,19732.0,593868.0
wa2,WA2,645843,15,31,BTA,4,FD,6,1257.799000,7.128000,11,1021284.0,641152.0,380132.0,6127707.0
wa2,WA2,645843,15,31,BTA,4,FD,12,655.276,4.926,12,528905.0,323635.0,76270.0,6346860.0
wa2,WA2,645843,15,31,BTA,4,FD,24,325.256,2.249,11,237344.0,161643.0,27526.0,5696256.0
wa2,WA2,645843,15,31,BTA,4,FD,48,172.425,4.623,14,132337.0,86760.0,12355.0,6352176.0
wa2,WA2,645843,15,31,BTA,4,FD,96,95.107,4.077,10,72445.0,45816.0,26629.0,6954728.0
wa2,WA2,645843,15,31,BTA,4,FD,128,90.893,2.568,10,69694.0,45064.1,10567.3,8920832.0
